"id","nome","descricao","imagem","created_at","updated_at","deleted_at","destaque"
11,"Vue.js","Framework progressivo para construção de interfaces de usuário.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/vue.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
12,"Angular","Framework front-end desenvolvido pelo Google.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/angular.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
13,"Svelte","Framework para construção de interfaces reativas.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/svelte.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
14,"PostgreSQL","Sistema de gerenciamento de banco de dados relacional avançado.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/postgresql.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
15,"MongoDB","Banco de dados NoSQL orientado a documentos.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/mongo.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
16,"GraphQL","Linguagem de consulta para APIs que permite obter apenas os dados necessários.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/graphql.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
17,"Docker","Plataforma para criação, execução e gerenciamento de containers.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/docker.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
18,"Kubernetes","Sistema para automação da implantação, escalonamento e operações de containers.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/kubernetes.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
19,"Terraform","Ferramenta de infraestrutura como código para gerenciamento de recursos na nuvem.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/terraform.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
20,"Firebase","Plataforma de desenvolvimento de aplicativos móveis e web da Google.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/firebase.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
21,"React Native","Biblioteca para desenvolvimento de aplicativos móveis com React.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/react.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
22,"Next.js","Framework React para construção de aplicações web.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/next.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
23,"Prisma","ORM para Node.js e TypeScript com suporte a diversos bancos de dados.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/prisma.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
24,"Supabase","Plataforma open-source para desenvolvimento de aplicativos web e APIs.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/supabase.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
25,"Tailwind CSS","Framework CSS para construção de interfaces de usuário.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/tailwind.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
26,"Flutter","Framework para desenvolvimento de aplicativos móveis nativos.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/flutter.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"true"
27,"PHP","Linguagem de programação de uso geral.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/php.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
28,"ChatGPT","API de conversação baseada em GPT-3.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/openai.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
29,"Dart","Linguagem de programação para desenvolvimento de aplicativos móveis com Flutter.","https://github.com/portfolio-projetos-dev/assets/raw/main/images/dart.svg","2025-03-20 08:38:10","2025-03-20 08:38:10",,"false"
